question_id	section	state_code	question_number_in_section	question_text	option_a	option_b	option_c	option_d	source_notes
1	general	DE	1	In Deutschland dürfen Menschen offen etwas gegen die Regierung sagen, weil …	hier Religionsfreiheit gilt.	die Menschen Steuern zahlen.	die Menschen das Wahlrecht haben.	hier Meinungsfreiheit gilt.	
2	general	DE	2	In Deutschland können Eltern bis zum 14. Lebensjahr ihres Kindes entscheiden, ob es in der Schule am …	Geschichtsunterricht teilnimmt.	Religionsunterricht teilnimmt.	Politikunterricht teilnimmt.	Sprachunterricht teilnimmt.	
3	general	DE	3	Deutschland ist ein Rechtsstaat. Was ist damit gemeint?	Alle Einwohnerinnen/Einwohner und der Staat müssen sich an die Gesetze halten.	Der Staat muss sich nicht an die Gesetze halten.	Nur Deutsche müssen die Gesetze befolgen.	Die Gerichte machen die Gesetze.	
4	general	DE	4	Welches Recht gehört zu den Grundrechten in Deutschland?	Waffenbesitz	Faustrecht	Meinungsfreiheit	Selbstjustiz	
5	general	DE	5	Wahlen in Deutschland sind frei. Was bedeutet das?	Man darf Geld annehmen, wenn man dafür eine bestimmte Kandidatin/einen bestimmten Kandidaten wählt.	Nur Personen, die noch nie im Gefängnis waren, dürfen wählen.	Die Wählerin/der Wähler darf bei der Wahl weder beeinflusst noch zu einer bestimmten Stimmabgabe gezwungen werden und keine Nachteile durch die Wahl haben.	Alle wahlberechtigten Personen müssen wählen.	
6	general	DE	6	Wie heißt die deutsche Verfassung?	Volksgesetz	Bundesgesetz	Deutsches Gesetz	Grundgesetz	
7	general	DE	7	Welches Recht gehört zu den Grundrechten, die nach der deutschen Verfassung garantiert werden? Das Recht auf …	Glaubens- und Gewissensfreiheit	Unterhaltung	Arbeit	Wohnung	
8	general	DE	8	Was steht nicht im Grundgesetz von Deutschland?	Die Würde des Menschen ist unantastbar.	Alle sollen gleich viel Geld haben.	Jeder Mensch darf seine Meinung sagen.	Alle sind vor dem Gesetz gleich.	
9	general	DE	9	Welches Grundrecht gilt in Deutschland nur für Ausländerinnen/Ausländer? Das Grundrecht auf …	Schutz der Familie	Menschenwürde	Asyl	Meinungsfreiheit	
10	general	DE	10	Was ist mit dem deutschen Grundgesetz vereinbar?	die Prügelstrafe	die Folter	die Todesstrafe	die Geldstrafe	
11	general	DE	11	Wie wird die Verfassung der Bundesrepublik Deutschland genannt?	Grundgesetz	Bundesverfassung	Gesetzbuch	Verfassungsvertrag	
12	general	DE	12	Eine Partei im Deutschen Bundestag will die Pressefreiheit abschaffen. Ist das möglich?	Ja, wenn mehr als die Hälfte der Abgeordneten im Bundestag dafür sind.	Ja, aber dazu müssen zwei Drittel der Abgeordneten im Bundestag dafür sein.	Nein, denn die Pressefreiheit ist ein Grundrecht. Sie kann nicht abgeschafft werden.	Nein, denn nur der Bundesrat kann die Pressefreiheit abschaffen.	
13	general	DE	13	"Im Parlament steht der Begriff ""Opposition"" für …"	die regierenden Parteien.	die Fraktion mit den meisten Abgeordneten.	alle Parteien, die bei der letzten Wahl die 5%-Hürde erreichen konnten.	alle Abgeordneten, die nicht zu der Regierungspartei/den Regierungsparteien gehören.	
14	general	DE	14	Meinungsfreiheit in Deutschland heißt, dass ich …				Passanten auf der Straße beschimpfen darf. meine Meinung im Internet äußern kann. Nazi-, Hamas- oder Islamischer Staat-Symbole öffentlich tragen darf. meine Meinung nur dann äußern darf, solange ich der Regierung nicht widerspreche.	
15	general	DE	15	Was verbietet das deutsche Grundgesetz?	Militärdienst	Zwangsarbeit	freie Berufswahl	Arbeit im Ausland	
16	general	DE	16	Wann ist die Meinungsfreiheit in Deutschland eingeschränkt?	bei der öffentlichen Verbreitung falscher Behauptungen über einzelne Personen	bei Meinungsäußerungen über die Bundesregierung	bei Diskussionen über Religionen	bei Kritik am Staat	
17	general	DE	17	Die deutschen Gesetze verbieten …	Meinungsfreiheit der Einwohnerinnen und Einwohner.	Petitionen der Bürgerinnen und Bürger.	Versammlungsfreiheit der Einwohnerinnen und Einwohner.	Ungleichbehandlung der Bürgerinnen und Bürger durch den Staat.	
18	general	DE	18	Welches Grundrecht ist in Artikel 1 des Grundgesetzes der Bundesrepublik Deutschland garantiert?	die Unantastbarkeit der Menschenwürde	das Recht auf Leben	Religionsfreiheit	Meinungsfreiheit	
19	general	DE	19	"Was versteht man unter dem Recht der ""Freizügigkeit"" in Deutschland?"	Man darf sich seinen Wohnort selbst aussuchen.	Man kann seinen Beruf wechseln.	Man darf sich für eine andere Religion entscheiden.	Man darf sich in der Öffentlichkeit nur leicht bekleidet bewegen.	
20	general	DE	20	Eine Partei in Deutschland verfolgt das Ziel, eine Diktatur zu errichten. Sie ist dann …	tolerant.	rechtsstaatlich orientiert.	gesetzestreu.	verfassungswidrig.	
21	general	DE	21	Welches ist das Wappen der Bundesrepublik Deutschland?	Bild 1	Bild 2	Bild 3	Bild 4	Official PDF uses image labels for answer options.
22	general	DE	22	Was für eine Staatsform hat Deutschland?	Monarchie	Diktatur	Republik	Fürstentum	
23	general	DE	23	In Deutschland sind die meisten Erwerbstätigen …	in kleinen Familienunternehmen beschäftigt.	ehrenamtlich für ein Bundesland tätig.	selbstständig mit einer eigenen Firma tätig.	bei einer Firma oder Behörde beschäftigt.	
24	general	DE	24	Wie viele Bundesländer hat die Bundesrepublik Deutschland?	14	15	16	17	Official PDF uses numeric-only answer options.
25	general	DE	25	Was ist kein Bundesland der Bundesrepublik Deutschland?	Elsass-Lothringen	Nordrhein-Westfalen	Mecklenburg-Vorpommern	Sachsen-Anhalt	
26	general	DE	26	Deutschland ist …	eine kommunistische Republik.	ein demokratischer und sozialer Bundesstaat.	eine kapitalistische und soziale Monarchie.	ein sozialer und sozialistischer Bundesstaat.	
27	general	DE	27	Deutschland ist …	ein sozialistischer Staat.	ein Bundesstaat.	eine Diktatur.	eine Monarchie.	
28	general	DE	28	Wer wählt in Deutschland die Abgeordneten zum Bundestag?	das Militär	die Wirtschaft	das wahlberechtigte Volk	die Verwaltung	
29	general	DE	29	Welches Tier ist das Wappentier der Bundesrepublik Deutschland?	Löwe	Adler	Bär	Pferd	
30	general	DE	30	Was ist kein Merkmal unserer Demokratie?	regelmäßige Wahlen	Pressezensur	Meinungsfreiheit	verschiedene Parteien	
31	general	DE	31	Die Zusammenarbeit von Parteien zur Bildung einer Regierung nennt man in Deutschland …	Einheit.	Koalition.	Ministerium.	Fraktion.	
32	general	DE	32	Was ist keine staatliche Gewalt in Deutschland?	Gesetzgebung	Regierung	Presse	Rechtsprechung	
33	general	DE	33	Welche Aussage ist richtig? In Deutschland …	sind Staat und Religionsgemeinschaften voneinander getrennt.	bilden die Religionsgemeinschaften den Staat.	ist der Staat abhängig von den Religionsgemeinschaften.	bilden Staat und Religionsgemeinschaften eine Einheit.	
34	general	DE	34	Was ist Deutschland nicht?	eine Demokratie	ein Rechtsstaat	eine Monarchie	ein Sozialstaat	
35	general	DE	35	Womit finanziert der deutsche Staat die Sozialversicherung?	Kirchensteuer	Sozialabgaben	Spendengeldern	Vereinsbeiträgen	
36	general	DE	36	Welche Maßnahme schafft in Deutschland soziale Sicherheit?	die Krankenversicherung	die Autoversicherung	die Gebäudeversicherung	die Haftpflichtversicherung	
37	general	DE	37	Wie werden die Regierungschefinnen/Regierungschefs der meisten Bundesländer in Deutschland genannt?	Erste Ministerin/Erster Minister	Premierministerin/Premierminister	Senatorin/Senator	Ministerpräsidentin/Ministerpräsident	
38	general	DE	38	Die Bundesrepublik Deutschland ist ein demokratischer und sozialer …	Staatenverbund.	Bundesstaat.	Staatenbund.	Zentralstaat.	
39	general	DE	39	Was hat jedes deutsche Bundesland?	eine eigene Außenministerin/einen eigenen Außenminister	eine eigene Währung	eine eigene Armee	eine eigene Regierung	
40	general	DE	40	Mit welchen Worten beginnt die deutsche Nationalhymne?	Völker, hört die Signale …	Einigkeit und Recht und Freiheit …	Freude schöner Götterfunken …	Deutschland einig Vaterland …	
41	general	DE	41	Warum gibt es in einer Demokratie mehr als eine Partei?	weil dadurch die unterschiedlichen Meinungen der Bürgerinnen und Bürger vertreten werden	damit Bestechung in der Politik begrenzt wird	um politische Demonstrationen zu verhindern	um wirtschaftlichen Wettbewerb anzuregen	
42	general	DE	42	Wer beschließt in Deutschland ein neues Gesetz?	die Regierung	das Parlament	die Gerichte	die Polizei	
43	general	DE	43	Wann kann in Deutschland eine Partei verboten werden?	wenn ihr Wahlkampf zu teuer ist	wenn sie gegen die Verfassung kämpft	wenn sie Kritik am Staatsoberhaupt äußert	wenn ihr Programm eine neue Richtung vorschlägt	
44	general	DE	44	Wen kann man als Bürgerin/Bürger in Deutschland nicht direkt wählen?	Abgeordnete des EU-Parlaments	Die Bundespräsidentin/den Bundespräsidenten	Landtagsabgeordnete	Bundestagsabgeordnete	
45	general	DE	45	Zu welcher Versicherung gehört die Pflegeversicherung?	Sozialversicherung	Unfallversicherung	Hausratsversicherung	Haftpflicht- und Feuerversicherung	
46	general	DE	46	Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört dazu?	Er baut Straßen und Schulen.	Er verkauft Lebensmittel und Kleidung.	Er versorgt alle Einwohnerinnen und Einwohner kostenlos mit Zeitungen.	Er produziert Autos und Busse.	
47	general	DE	47	Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört nicht dazu?	Er bezahlt für alle Staatsangehörigen Urlaubsreisen.	Er zahlt Kindergeld.	Er unterstützt Museen.	Er fördert Sportlerinnen und Sportler.	
48	general	DE	48	Welches Organ gehört nicht zu den Verfassungsorganen Deutschlands?	der Bundesrat	die Bundespräsidentin/der Bundespräsident	die Bürgerversammlung	die Regierung	
49	general	DE	49	Wer bestimmt in Deutschland die Schulpolitik?	die Lehrer und Lehrerinnen	die Bundesländer	das Familienministerium	die Universitäten	
50	general	DE	50	Die Wirtschaftsform in Deutschland nennt man …	freie Zentralwirtschaft.	soziale Marktwirtschaft.	gelenkte Zentralwirtschaft.	Planwirtschaft.	
51	general	DE	51	Zu einem demokratischen Rechtsstaat gehört es nicht, dass …	Menschen sich kritisch über die Regierung äußern können.	Bürger friedlich demonstrieren gehen dürfen.	Menschen von einer Privatpolizei ohne Grund verhaftet werden.	jemand ein Verbrechen begeht und deshalb verhaftet wird.	
52	general	DE	52	"Was bedeutet ""Volkssouveränität""? Alle Staatsgewalt geht vom ..."	Volke aus.	Bundestag aus.	preußischen König aus.	Bundesverfassungsgericht aus.	
53	general	DE	53	"Was bedeutet ""Rechtsstaat"" in Deutschland?"	Der Staat hat Recht.	Es gibt nur rechte Parteien.	Die Bürgerinnen und Bürger entscheiden über Gesetze.	Der Staat muss die Gesetze einhalten.	
54	general	DE	54	Was ist keine staatliche Gewalt in Deutschland?	Legislative	Judikative	Exekutive	Direktive	
55	general	DE	55	Was zeigt dieses Bild? © Deutscher Bundestag/Achim Melde	den Bundestagssitz in Berlin	das Bundesverfassungsgericht in Karlsruhe	das Bundesratsgebäude in Berlin	das Bundeskanzleramt in Berlin	
56	general	DE	56	Welches Amt gehört in Deutschland zur Gemeindeverwaltung?	Pfarramt	Ordnungsamt	Finanzamt	Auswärtiges Amt	
57	general	DE	57	Wer wird meistens zur Präsidentin/zum Präsidenten des Deutschen Bundestages gewählt?	die/der älteste Abgeordnete im Parlament	die Ministerpräsidentin/der Ministerpräsident des größten Bundeslandes	eine ehemalige Bundeskanzlerin/ein ehemaliger Bundeskanzler	eine Abgeordnete/ein Abgeordneter der stärksten Fraktion	
58	general	DE	58	Wer ernennt in Deutschland die Ministerinnen/die Minister der Bundesregierung?	die Präsidentin/der Präsident des Bundesverfassungsgerichtes	die Bundespräsidentin/der Bundespräsident	die Bundesratspräsidentin/der Bundesratspräsident	die Bundestagspräsidentin/der Bundestagspräsident	
59	general	DE	59	Vor wie vielen Jahren gab es erstmals eine jüdische Gemeinde auf dem Gebiet des heutigen Deutschlands? □ vor etwa 300 Jahren □ vor etwa 700 Jahren □ vor etwa 1150 Jahren □ vor etwa 1700 Jahren					
60	general	DE	60	In Deutschland gehören der Bundestag und der Bundesrat zur …	Exekutive.	Legislative.	Direktive.	Judikative.	
61	general	DE	61	"Was bedeutet ""Volkssouveränität""?"	Die Königin/der König herrscht über das Volk.	Das Bundesverfassungsgericht steht über der Verfassung.	Die Interessenverbände üben die Souveränität zusammen mit der Regierung aus.	Die Staatsgewalt geht vom Volke aus.	
62	general	DE	62	Wenn das Parlament eines deutschen Bundeslandes gewählt wird, nennt man das …	Kommunalwahl	Landtagswahl	Europawahl	Bundestagswahl	
63	general	DE	63	Was gehört in Deutschland nicht zur Exekutive?	die Polizei	die Gerichte	das Finanzamt	die Ministerien	
64	general	DE	64	Die Bundesrepublik Deutschland ist heute gegliedert in …	vier Besatzungszonen.	einen Oststaat und einen Weststaat.	16 Kantone.	Bund, Länder und Kommunen.	
65	general	DE	65	Es gehört nicht zu den Aufgaben des Deutschen Bundestages, …	Gesetze zu entwerfen.	die Bundesregierung zu kontrollieren.	die Bundeskanzlerin/den Bundeskanzler zu wählen.	das Bundeskabinett zu bilden.	
66	general	DE	66	Welche Städte haben die größten jüdischen Gemeinden in Deutschland? □ Berlin und München □ Hamburg und Essen □ Nürnberg und Stuttgart □ Worms und Speyer					
67	general	DE	67	Was ist in Deutschland vor allem eine Aufgabe der Bundesländer?	Verteidigungspolitik	Außenpolitik	Wirtschaftspolitik	Schulpolitik	
68	general	DE	68	Warum kontrolliert der Staat in Deutschland das Schulwesen?	weil es in Deutschland nur staatliche Schulen gibt	weil alle Schülerinnen und Schüler einen Schulabschluss haben müssen	weil es in den Bundesländern verschiedene Schulen gibt	weil es nach dem Grundgesetz seine Aufgabe ist	
69	general	DE	69	Die Bundesrepublik Deutschland hat einen dreistufigen Verwaltungsaufbau. Wie heißt die unterste politische Stufe?	Stadträte	Landräte	Gemeinden	Bezirksämter	
70	general	DE	70	Der deutsche Bundespräsident Gustav Heinemann gibt Helmut Schmidt 1974 die Ernennungsurkunde zum deutschen Bundeskanzler. Was gehört zu den Aufgaben der deutschen Bundespräsidentin/des deutschen Bundespräsidenten? © Bundesregierung/Engelbert Reineke	Sie/Er führt die Regierungsgeschäfte.	Sie/Er kontrolliert die Regierungspartei.	Sie/Er wählt die Ministerinnen/Minister aus.	Sie/Er schlägt die Kanzlerin/den Kanzler zur Wahl vor.	
71	general	DE	71	Wo hält sich die deutsche Bundeskanzlerin/der deutsche Bundeskanzler am häufigsten auf? Am häufigsten ist sie/er …	in Bonn, weil sich dort das Bundeskanzleramt und der Bundestag befinden.	auf Schloss Meseberg, dem Gästehaus der Bundesregierung, um Staatsgäste zu empfangen.	auf Schloss Bellevue, dem Amtssitz der Bundespräsidentin/des Bundespräsidenten, um Staatsgäste zu empfangen.	in Berlin, weil sich dort das Bundeskanzleramt und der Bundestag befinden.	
72	general	DE	72	Wie heißt die jetzige Bundeskanzlerin/der jetzige Bundeskanzler von Deutschland?	Gerhard Schröder	Angela Merkel	Ursula von der Leyen	Friedrich Merz	
73	general	DE	73	Die beiden größten Fraktionen im Deutschen Bundestag heißen zurzeit …	CDU/CSU und AfD.	Die Linke und Bündnis 90/Die Grünen.	Bündnis 90/Die Grünen und SPD.	Die Linke und CDU/CSU.	
74	general	DE	74	Wie heißt das Parlament für ganz Deutschland?	Bundesversammlung	Volkskammer	Bundestag	Bundesgerichtshof	
75	general	DE	75	Wie heißt Deutschlands heutiges Staatsoberhaupt?	Frank-Walter Steinmeier	Bärbel Bas	Bodo Ramelow	Joachim Gauck	
76	general	DE	76	Was bedeutet die Abkürzung CDU in Deutschland?	Christliche Deutsche Union	Club Deutscher Unternehmer	Christlicher Deutscher Umweltschutz	Christlich Demokratische Union	
77	general	DE	77	Was ist die Bundeswehr?	die deutsche Polizei	ein deutscher Hafen	eine deutsche Bürgerinitiative	die deutsche Armee	
78	general	DE	78	Was bedeutet die Abkürzung SPD?	Sozialistische Partei Deutschlands	Sozialpolitische Partei Deutschlands	Sozialdemokratische Partei Deutschlands	Sozialgerechte Partei Deutschlands	
79	general	DE	79	Was bedeutet die Abkürzung FDP in Deutschland?	Friedliche Demonstrative Partei	Freie Deutschland Partei	Führende Demokratische Partei	Freie Demokratische Partei	
80	general	DE	80	Welches Gericht in Deutschland ist zuständig für die Auslegung des Grundgesetzes?	Oberlandesgericht	Amtsgericht	Bundesverfassungsgericht	Verwaltungsgericht	
81	general	DE	81	Wer wählt die Bundeskanzlerin/den Bundeskanzler in Deutschland?	der Bundesrat	die Bundesversammlung	das Volk	der Bundestag	
82	general	DE	82	Wer leitet das deutsche Bundeskabinett?	die Bundestagspräsidentin/der Bundestagspräsident	die Bundespräsidentin/der Bundespräsident	die Bundesratspräsidentin/der Bundesratspräsident	die Bundeskanzlerin/der Bundeskanzler	
83	general	DE	83	Wer wählt die deutsche Bundeskanzlerin/den deutschen Bundeskanzler?	das Volk	die Bundesversammlung	der Bundestag	die Bundesregierung	
84	general	DE	84	Welche Hauptaufgabe hat die deutsche Bundespräsidentin/der deutsche Bundespräsident? Sie/Er …	regiert das Land.	entwirft die Gesetze.	repräsentiert das Land.	überwacht die Einhaltung der Gesetze.	
85	general	DE	85	Wer bildet den deutschen Bundesrat?	die Abgeordneten des Bundestages	die Ministerinnen und Minister der Bundesregierung	die Regierungsvertreter der Bundesländer	die Parteimitglieder	
86	general	DE	86	Wer wählt in Deutschland die Bundespräsidentin/den Bundespräsidenten?	die Bundesversammlung	der Bundesrat	das Bundesparlament	das Bundesverfassungsgericht	
87	general	DE	87	Wer ist das Staatsoberhaupt der Bundesrepublik Deutschland?	die Bundeskanzlerin/der Bundeskanzler	die Bundespräsidentin/der Bundespräsident	die Bundesratspräsidentin/der Bundesratspräsident	die Bundestagspräsidentin/der Bundestagspräsident	
88	general	DE	88	Die parlamentarische Opposition im Deutschen Bundestag …	kontrolliert die Regierung.	entscheidet, wer Bundesministerin/Bundesminister wird.	bestimmt, wer im Bundesrat sitzt.	schlägt die Regierungschefinnen/Regierungschefs der Länder vor.	
89	general	DE	89	Wie nennt man in Deutschland die Vereinigung von Abgeordneten einer Partei im Parlament?	Verband	Ältestenrat	Fraktion	Opposition	
90	general	DE	90	Die deutschen Bundesländer wirken an der Gesetzgebung des Bundes mit durch …	den Bundesrat.	die Bundesversammlung.	den Bundestag.	die Bundesregierung.	
91	general	DE	91	In Deutschland kann ein Regierungswechsel in einem Bundesland Auswirkungen auf die Bundespolitik haben. Das Regieren wird …	schwieriger, wenn sich dadurch die Mehrheit im Bundestag ändert.	leichter, wenn dadurch neue Parteien in den Bundesrat kommen.	schwieriger, wenn dadurch die Mehrheit im Bundesrat verändert wird.	leichter, wenn es sich um ein reiches Bundesland handelt.	
92	general	DE	92	Was bedeutet die Abkürzung CSU in Deutschland?	Christlich Sichere Union	Christlich Süddeutsche Union	Christlich Sozialer Unternehmerverband	Christlich Soziale Union	
93	general	DE	93	"Je mehr ""Zweitstimmen"" eine Partei bei einer Bundestagswahl bekommt, desto …"	weniger Erststimmen kann sie haben.	mehr Direktkandidaten der Partei ziehen ins Parlament ein.	größer ist das Risiko, eine Koalition bilden zu müssen.	mehr Sitze erhält die Partei im Parlament.	
94	general	DE	94	Ab welchem Alter darf man in Deutschland an der Wahl zum Deutschen Bundestag teilnehmen?	16	18	21	23	Official PDF uses numeric-only answer options.
95	general	DE	95	Was gilt für die meisten Kinder in Deutschland?	Wahlpflicht	Schulpflicht	Schweigepflicht	Religionspflicht	
96	general	DE	96	Wie kann jemand, der den Holocaust leugnet, bestraft werden? □ Kürzung sozialer Leistungen □ bis zu 100 Sozialstunden □ gar nicht, Holocaustleugnung ist erlaubt □ mit Freiheitsstrafe bis zu fünf Jahren oder mit Geldstrafe					
97	general	DE	97	Was bezahlt man in Deutschland automatisch, wenn man fest angestellt ist?	Sozialversicherung	Sozialhilfe	Kindergeld	Wohngeld	
98	general	DE	98	Wenn Abgeordnete im Deutschen Bundestag ihre Fraktion wechseln, …	dürfen sie nicht mehr an den Sitzungen des Parlaments teilnehmen.	kann die Regierung ihre Mehrheit verlieren.	muss die Bundespräsidentin/der Bundespräsident zuvor ihr/sein Einverständnis geben.	dürfen die Wählerinnen/Wähler dieser Abgeordneten noch einmal wählen.	
99	general	DE	99	Wer bezahlt in Deutschland die Sozialversicherungen?	Arbeitgeberinnen/Arbeitgeber und Arbeitnehmerinnen/Arbeitnehmer	nur Arbeitnehmerinnen/Arbeitnehmer	alle Staatsangehörigen	nur Arbeitgeberinnen/Arbeitgeber	
100	general	DE	100	Was gehört nicht zur gesetzlichen Sozialversicherung?	die Lebensversicherung	die gesetzliche Rentenversicherung	die Arbeitslosenversicherung	die Pflegeversicherung	
101	general	DE	101	Gewerkschaften sind Interessenverbände der …	Jugendlichen.	Arbeitnehmerinnen und Arbeitnehmer.	Rentnerinnen und Rentner.	Arbeitgeberinnen und Arbeitgeber.	
102	general	DE	102	Womit kann man in der Bundesrepublik Deutschland geehrt werden, wenn man auf politischem, wirtschaftlichem, kulturellem, geistigem oder sozialem Gebiet eine besondere Leistung erbracht hat? Mit dem …	Bundesverdienstkreuz	Bundesadler	Vaterländischen Verdienstorden	"Ehrentitel ""Held der Deutschen Demokratischen Republik"""	
103	general	DE	103	"Was wird in Deutschland als ""Ampelkoalition"" bezeichnet? Die Zusammenarbeit …"	der Bundestagsfraktionen von CDU und CSU	von SPD, FDP und Bündnis 90/Die Grünen in einer Regierung	von CSU, Die LINKE und Bündnis 90/Die Grünen in einer Regierung	der Bundestagsfraktionen von CDU und SPD	
104	general	DE	104	Eine Frau in Deutschland verliert ihre Arbeit. Was darf nicht der Grund für diese Entlassung sein?	Die Frau ist lange krank und arbeitsunfähig.	Die Frau kam oft zu spät zur Arbeit.	Die Frau erledigt private Sachen während der Arbeitszeit.	Die Frau bekommt ein Kind und ihr Chef weiß das.	
